,title,salary,from_date
0,Senior Engineer,60117,1986-06-26
1,Senior Engineer,62102,1987-06-26
2,Senior Engineer,66074,1988-06-25
3,Senior Engineer,66596,1989-06-25
4,Senior Engineer,66961,1990-06-25
5,Senior Engineer,71046,1991-06-25
6,Senior Engineer,74333,1992-06-24
7,Senior Engineer,75286,1993-06-24
8,Senior Engineer,75994,1994-06-24
9,Senior Engineer,76884,1995-06-24
10,Senior Engineer,80013,1996-06-23
11,Senior Engineer,81025,1997-06-23
12,Senior Engineer,81097,1998-06-23
13,Senior Engineer,84917,1999-06-23
14,Senior Engineer,85112,2000-06-22
15,Senior Engineer,85097,2001-06-22
16,Senior Engineer,88958,2002-06-22
17,Senior Engineer,40006,1995-12-03
18,Senior Engineer,43616,1996-12-02
19,Senior Engineer,43466,1997-12-02
20,Senior Engineer,43636,1998-12-02
21,Senior Engineer,43478,1999-12-02
22,Senior Engineer,43699,2000-12-01
23,Senior Engineer,43311,2001-12-01
24,Senior Engineer,40054,1986-12-01
25,Senior Engineer,42283,1987-12-01
26,Senior Engineer,42542,1988-11-30
27,Senior Engineer,46065,1989-11-30
28,Senior Engineer,48271,1990-11-30
29,Senior Engineer,50594,1991-11-30
30,Senior Engineer,52119,1992-11-29
31,Senior Engineer,54693,1993-11-29
32,Senior Engineer,58326,1994-11-29
33,Senior Engineer,60770,1995-11-29
34,Senior Engineer,62566,1996-11-28
35,Senior Engineer,64340,1997-11-28
36,Senior Engineer,67096,1998-11-28
37,Senior Engineer,69722,1999-11-28
38,Senior Engineer,70698,2000-11-27
39,Senior Engineer,74057,2001-11-27
40,Senior Engineer,40000,1990-08-05
41,Senior Engineer,42085,1991-08-05
42,Senior Engineer,42629,1992-08-04
43,Senior Engineer,45844,1993-08-04
44,Senior Engineer,47518,1994-08-04
45,Senior Engineer,47917,1995-08-04
46,Senior Engineer,52255,1996-08-03
47,Senior Engineer,53747,1997-08-03
48,Senior Engineer,56032,1998-08-03
49,Senior Engineer,58299,1999-08-03
50,Senior Engineer,60098,2000-08-02
51,Senior Engineer,59755,2001-08-02
52,Senior Engineer,60929,1985-02-18
53,Senior Engineer,64604,1986-02-18
54,Senior Engineer,64780,1987-02-18
55,Senior Engineer,66302,1988-02-18
56,Senior Engineer,69042,1989-02-17
57,Senior Engineer,70889,1990-02-17
58,Senior Engineer,71434,1991-02-17
59,Senior Engineer,74612,1992-02-17
60,Senior Engineer,76518,1993-02-16
61,Senior Engineer,78335,1994-02-16
62,Senior Engineer,80944,1995-02-16
63,Senior Engineer,82507,1996-02-16
64,Senior Engineer,85875,1997-02-15
65,Senior Engineer,89324,1998-02-15
66,Senior Engineer,90668,1999-02-15
67,Senior Engineer,93507,2000-02-15
68,Senior Engineer,94443,2001-02-14
69,Senior Engineer,94409,2002-02-14
70,Senior Engineer,40000,1992-12-18
71,Senior Engineer,41867,1993-12-18
72,Senior Engineer,42318,1994-12-18
73,Senior Engineer,44195,1995-12-18
74,Senior Engineer,46460,1996-12-17
75,Senior Engineer,46485,1997-12-17
76,Senior Engineer,47364,1998-12-17
77,Senior Engineer,51122,1999-12-17
78,Senior Engineer,54794,2000-12-16
79,Senior Engineer,54423,2001-12-16
80,Senior Engineer,55881,1987-04-03
81,Senior Engineer,59206,1988-04-02
82,Senior Engineer,61361,1989-04-02
83,Senior Engineer,61648,1990-04-02
84,Senior Engineer,61217,1991-04-02
85,Senior Engineer,61244,1992-04-01
86,Senior Engineer,63286,1993-04-01
87,Senior Engineer,65739,1994-04-01
88,Senior Engineer,67519,1995-04-01
89,Senior Engineer,69276,1996-03-31
90,Senior Engineer,72585,1997-03-31
91,Senior Engineer,72804,1998-03-31
92,Senior Engineer,76957,1999-03-31
93,Senior Engineer,80305,2000-03-30
94,Senior Engineer,84541,2001-03-30
95,Senior Engineer,84672,2002-03-30
96,Senior Engineer,47585,1995-03-20
97,Senior Engineer,51730,1996-03-19
98,Senior Engineer,53682,1997-03-19
99,Senior Engineer,56769,1998-03-19
100,Senior Engineer,60397,1999-03-19
101,Senior Engineer,64132,2000-03-18
102,Senior Engineer,65415,2001-03-18
103,Senior Engineer,66313,2002-03-18
104,Senior Engineer,40000,1995-04-02
105,Senior Engineer,39520,1996-04-01
106,Senior Engineer,42382,1997-04-01
107,Senior Engineer,43654,1998-04-01
108,Senior Engineer,43925,1999-04-01
109,Senior Engineer,45157,2000-03-31
110,Senior Engineer,45771,2001-03-31
111,Senior Engineer,46145,2002-03-31
112,Senior Engineer,63163,1991-09-18
113,Senior Engineer,66877,1992-09-17
114,Senior Engineer,69211,1993-09-17
115,Senior Engineer,70624,1994-09-17
116,Senior Engineer,70294,1995-09-17
117,Senior Engineer,70671,1996-09-16
118,Senior Engineer,73510,1997-09-16
119,Senior Engineer,75773,1998-09-16
120,Senior Engineer,76067,1999-09-16
121,Senior Engineer,76608,2000-09-15
122,Senior Engineer,77777,2001-09-15
123,Senior Engineer,66956,1994-02-17
124,Senior Engineer,68393,1995-02-17
125,Senior Engineer,72795,1996-02-17
126,Senior Engineer,76453,1997-02-16
127,Senior Engineer,79290,1998-02-16
128,Senior Engineer,83327,1999-02-16
129,Senior Engineer,86634,2000-02-16
130,Senior Engineer,87027,2001-02-15
131,Senior Engineer,88806,2002-02-15
132,Senior Engineer,40000,1991-09-01
133,Senior Engineer,40859,1992-08-31
134,Senior Engineer,41881,1993-08-31
135,Senior Engineer,44191,1994-08-31
136,Senior Engineer,47202,1995-08-31
137,Senior Engineer,47606,1996-08-30
138,Senior Engineer,50810,1997-08-30
139,Senior Engineer,52675,1998-08-30
140,Senior Engineer,54177,1999-08-30
141,Senior Engineer,53873,2000-08-29
142,Senior Engineer,56689,2001-08-29
143,Senior Engineer,48426,1990-06-20
144,Senior Engineer,49389,1991-06-20
145,Senior Engineer,52000,1992-06-19
146,Senior Engineer,53038,1993-06-19
147,Senior Engineer,54336,1994-06-19
148,Senior Engineer,53978,1995-06-19
149,Senior Engineer,55090,1996-06-18
150,Senior Engineer,57110,1997-06-18
151,Senior Engineer,57926,1998-06-18
152,Senior Engineer,57876,1999-06-18
153,Senior Engineer,61709,2000-06-17
154,Senior Engineer,65820,2001-06-17
155,Senior Engineer,69539,2002-06-17
156,Senior Engineer,41538,1988-09-05
157,Senior Engineer,45131,1989-09-05
158,Senior Engineer,45629,1990-09-05
159,Senior Engineer,48360,1991-09-05
160,Senior Engineer,50664,1992-09-04
161,Senior Engineer,53060,1993-09-04
162,Senior Engineer,56640,1994-09-04
163,Senior Engineer,57621,1995-09-04
164,Senior Engineer,59291,1996-09-03
165,Senior Engineer,61793,1997-09-03
166,Senior Engineer,62285,1998-09-03
167,Senior Engineer,65332,1999-09-03
168,Senior Engineer,66584,2000-09-02
169,Senior Engineer,68755,2001-09-02
170,Senior Engineer,40000,1990-12-05
171,Senior Engineer,39765,1991-12-05
172,Senior Engineer,43565,1992-12-04
173,Senior Engineer,43104,1993-12-04
174,Senior Engineer,46100,1994-12-04
175,Senior Engineer,49735,1995-12-04
176,Senior Engineer,51775,1996-12-03
177,Senior Engineer,53198,1997-12-03
178,Senior Engineer,56270,1998-12-03
179,Senior Engineer,59882,1999-12-03
180,Senior Engineer,60992,2000-12-02
181,Senior Engineer,60574,2001-12-02
182,Senior Engineer,52153,1993-02-14
183,Senior Engineer,53533,1994-02-14
184,Senior Engineer,56565,1995-02-14
185,Senior Engineer,60260,1996-02-14
186,Senior Engineer,62101,1997-02-13
187,Senior Engineer,63870,1998-02-13
188,Senior Engineer,64570,1999-02-13
189,Senior Engineer,67016,2000-02-13
190,Senior Engineer,68185,2001-02-12
191,Senior Engineer,72668,2002-02-12
192,Senior Engineer,49324,1990-10-20
193,Senior Engineer,51948,1991-10-20
194,Senior Engineer,54011,1992-10-19
195,Senior Engineer,58302,1993-10-19
196,Senior Engineer,62291,1994-10-19
197,Senior Engineer,65669,1995-10-19
198,Senior Engineer,65562,1996-10-18
199,Senior Engineer,68328,1997-10-18
200,Senior Engineer,70689,1998-10-18
201,Senior Engineer,72543,1999-10-18
202,Senior Engineer,76677,2000-10-17
203,Senior Engineer,77659,2001-10-17
204,Senior Engineer,54982,1989-03-31
205,Senior Engineer,57350,1990-03-31
206,Senior Engineer,59571,1991-03-31
207,Senior Engineer,62851,1992-03-30
208,Senior Engineer,65225,1993-03-30
209,Senior Engineer,66330,1994-03-30
210,Senior Engineer,69992,1995-03-30
211,Senior Engineer,73376,1996-03-29
212,Senior Engineer,74735,1997-03-29
213,Senior Engineer,75748,1998-03-29
214,Senior Engineer,77149,1999-03-29
215,Senior Engineer,78399,2000-03-28
216,Senior Engineer,78569,2001-03-28
217,Senior Engineer,81037,2002-03-28
218,Senior Engineer,48817,1992-10-15
219,Senior Engineer,50874,1993-10-15
220,Senior Engineer,52247,1994-10-15
221,Senior Engineer,56217,1995-10-15
222,Senior Engineer,59402,1996-10-14
223,Senior Engineer,59012,1997-10-14
224,Senior Engineer,61719,1998-10-14
225,Senior Engineer,61345,1999-10-14
226,Senior Engineer,61400,2000-10-13
227,Senior Engineer,64905,2001-10-13
228,Senior Engineer,48857,1990-02-01
229,Senior Engineer,51457,1991-02-01
230,Senior Engineer,53869,1992-02-01
231,Senior Engineer,54677,1993-01-31
232,Senior Engineer,56047,1994-01-31
233,Senior Engineer,59252,1995-01-31
234,Senior Engineer,61963,1996-01-31
235,Senior Engineer,65622,1997-01-30
236,Senior Engineer,67648,1998-01-30
237,Senior Engineer,70163,1999-01-30
238,Senior Engineer,69905,2000-01-30
239,Senior Engineer,74004,2001-01-29
240,Senior Engineer,74722,2002-01-29
241,Senior Engineer,49616,1992-01-15
242,Senior Engineer,53897,1993-01-14
243,Senior Engineer,58099,1994-01-14
244,Senior Engineer,58881,1995-01-14
245,Senior Engineer,61013,1996-01-14
246,Senior Engineer,61055,1997-01-13
247,Senior Engineer,61255,1998-01-13
248,Senior Engineer,60966,1999-01-13
249,Senior Engineer,63507,2000-01-13
250,Senior Engineer,66430,2001-01-12
251,Senior Engineer,68061,2002-01-12
252,Senior Engineer,55685,1991-08-30
253,Senior Engineer,59029,1992-08-29
254,Senior Engineer,60089,1993-08-29
255,Senior Engineer,62194,1994-08-29
256,Senior Engineer,61761,1995-08-29
257,Senior Engineer,65275,1996-08-28
258,Senior Engineer,65544,1997-08-28
259,Senior Engineer,66167,1998-08-28
260,Senior Engineer,66447,1999-08-28
261,Senior Engineer,68784,2000-08-27
262,Senior Engineer,68559,2001-08-27
263,Senior Engineer,40000,1989-04-08
264,Senior Engineer,41990,1990-04-08
265,Senior Engineer,44342,1991-04-08
266,Senior Engineer,48429,1992-04-07
267,Senior Engineer,52466,1993-04-07
268,Senior Engineer,54823,1994-04-07
269,Senior Engineer,56442,1995-04-07
270,Senior Engineer,60165,1996-04-05
271,Senior Engineer,63852,1997-04-05
272,Senior Engineer,65262,1998-04-06
273,Senior Engineer,69354,1999-04-06
274,Senior Engineer,71028,2000-04-05
275,Senior Engineer,73393,2001-04-05
276,Senior Engineer,74841,2002-04-04
277,Senior Engineer,69736,1986-02-26
278,Senior Engineer,72147,1987-02-26
279,Senior Engineer,76616,1988-02-26
280,Senior Engineer,78885,1989-02-25
281,Senior Engineer,82819,1990-02-25
282,Senior Engineer,84064,1991-02-25
283,Senior Engineer,84161,1992-02-25
284,Senior Engineer,84368,1993-02-24
285,Senior Engineer,88392,1994-02-24
286,Senior Engineer,88808,1995-02-24
287,Senior Engineer,92405,1996-02-24
288,Senior Engineer,96451,1997-02-23
289,Senior Engineer,98656,1998-02-23
290,Senior Engineer,99199,1999-02-23
291,Senior Engineer,102425,2000-02-23
292,Senior Engineer,102674,2001-02-22
